[  260.415673]  + module is loaded.
[  260.416536] +pid=   49, comm=    ksoftirqd/7, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416549] +pid=   50, comm=    kworker/7:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416567] +pid=   51, comm=   kworker/7:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416584] +pid=   52, comm=        cpuhp/8, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416601] +pid=   53, comm=    migration/8, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, static_prio=  120, normal_prio=    0, rt_priority=   99, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  20000000 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416617] +pid=   54, comm=    ksoftirqd/8, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416678] +pid=   55, comm=    kworker/8:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416695] +pid=   56, comm=   kworker/8:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416746] +pid=   57, comm=        cpuhp/9, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416762] +pid=   58, comm=    migration/9, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, static_prio=  120, normal_prio=    0, rt_priority=   99, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  20000000 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416778] +pid=   59, comm=    ksoftirqd/9, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416793] +pid=   60, comm=    kworker/9:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416810] +pid=   61, comm=   kworker/9:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416826] +pid=   62, comm=       cpuhp/10, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416842] +pid=   63, comm=   migration/10, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, static_prio=  120, normal_prio=    0, rt_priority=   99, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  30000000 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416858] +pid=   64, comm=   ksoftirqd/10, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416874] +pid=   65, comm=   kworker/10:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416891] +pid=   66, comm=  kworker/10:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
