[ 2578.499526] +pid=  820, comm=         dhcpcd, ppid=  618, parentcomm=         dhcpcd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=   1000000 flags: [FORKNOEXEC SUPERPRIV RANDOMIZE ]
[ 2578.499544] +pid=  829, comm=         psimon, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=   98, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.499853] +pid=  879, comm= kworker/u517:3, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  18771725 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.499900] +pid=  880, comm=    sddm-helper, ppid=  640, parentcomm=           sddm, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  48563209, stime=  28986554 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.499918] +pid=  886, comm= kworker/u523:2, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=   5223670 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.499942] +pid=  891, comm= kworker/u529:5, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=   4370362 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.499963] +pid=  905, comm=        systemd, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime= 318849834, stime= 308074892 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.499980] +pid=  907, comm=       (sd-pam), ppid=  905, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state= 8193, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC SUPERPRIV RANDOMIZE ]
[ 2578.500680] +pid=  924, comm=       ksecretd, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime= 180995767, stime= 181810797 flags: [RANDOMIZE ]
[ 2578.500696] +pid=  925, comm=startplasma-way, ppid=  880, parentcomm=    sddm-helper, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  74661164, stime=  51581021 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.500714] +pid=  943, comm=dbus-broker-lau, ppid=  905, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=   8302537, stime=  15763323 flags: [RANDOMIZE ]
[ 2578.500729] +pid=  944, comm=    dbus-broker, ppid=  943, parentcomm=dbus-broker-lau, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime= 155382475, stime= 422079467 flags: [RANDOMIZE ]
[ 2578.500896] +pid=  953, comm=kwin_wayland_wr, ppid=  905, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  12136490, stime=   9263448 flags: [RANDOMIZE ]
